iter	Passed	Remaining
942	84048	5080
943	84164	4992
944	84280	4905
945	84388	4817
946	84508	4729
947	84609	4641
948	84709	4552
949	84790	4462
950	84880	4373
951	84981	4284
952	85084	4196
953	85182	4107
954	85270	4018
955	85376	3929
956	85469	3840
957	85568	3751
958	85665	3662
959	85754	3573
960	85856	3484
961	86050	3399
962	86253	3313
963	86400	3226
964	86564	3139
965	86715	3052
966	86984	2968
967	87110	2879
968	87207	2789
969	87308	2700
970	87403	2610
971	87501	2520
972	87601	2430
973	87686	2340
974	87784	2250
975	87876	2160
976	87966	2070
977	88051	1980
978	88141	1890
979	88234	1800
980	88323	1710
981	88416	1620
982	88553	1531
983	88699	1442
984	88846	1352
985	88993	1263
986	89340	1176
987	89460	1086
988	89564	996
989	89669	905
990	89783	815
991	89870	724
992	89977	634
993	90074	543
994	90187	453
995	90275	362
996	90363	271
997	90455	181
998	90549	90
999	90638	0
